"id","question","answer","correct","time","coins","quiz_id","created_at","updated_at"
"399","Who was the first Indian woman in space ?","[""Sunita Williams"",""P.T Usha"",""Kalpana Chawla"",""None""]","Kalpana Chawla","0","150.00","9","2024-05-06 11:11:55","2024-05-08 10:14:24"
"400","Mrs Bector is associated with which of the following?","[""Parle"",""Mother Dairy"",""Britannia"",""Cremica""]","Cremica","0","100.00","9","2024-05-06 11:11:55","2024-05-07 18:00:57"
"401","Who was the first female teacher in India?","[""Sarojini Naidu"",""Mother Teresa"",""Pandita Ramabai"",""Savitribai Phule""]","Savitribai Phule","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"402","Who is known as the ''Nightingale of India''?","[""Sarojini Naidu"",""Mother Teresa"",""Pandita Ramabai"",""Savitribai Phule""]","Sarojini Naidu","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"403","Who was the first Indian woman to fly an aircraft?","[""Asima Chatterjee"",""Sarla Thakral"",""Anandibai Joshi"",""Kalpana Chawla""]","Sarla Thakral","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"404","Who was the first woman from India to climb Mount Everest?","[""Sunita Williams"",""Bachendri Pal"",""Sucheta Kriplani"",""Sarojini Naidu""]","Bachendri Pal","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"405","Who was the first female IPS officer in India?","[""Nirmala Sitaraman"",""Kiran Bedi"",""Mother Teresa"",""Amrit Kaur""]","Kiran Bedi","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"406","Who was the first woman speaker of Lok Sabha?","[""Shanno Devi"",""Meira Kumar"",""Smriti Irani"",""Annie Besant""]","Meira Kumar","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"407","Who was the first ever Miss Universe from India?","[""Sushmita Sen"",""Rita Faria"",""Lara Dutta"",""Harnaz Sandhu""]","Sushmita Sen","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"408","Who was the first Indian woman to become the President of the General Assembly?","[""Annie Besant"",""Sarojini Naidu"",""Vijay Lakshmi"",""Arundhati Roy""]","Vijay Lakshmi","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"409","Who was the first become the President of the General Assembly?","[""Annie Besant"",""Sarojini Naidu"",""Vijay Lakshmi"",""Arundhati Roy""]","Arundhati Roy","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"410","Aung San Suu Kyi belongs to which city?","[""United States"",""Myanmar"",""India"",""Bangalore""]","Myanmar","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"411","Aung San Suu Kyi belongs to which country?","[""United States"",""Myanmar"",""India"",""Bangalore""]","India","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"412","Who was the first woman to become the ruler of Delhi?","[""Mumtaz Mahal"",""Razia Sultan"",""Begum Noormahal"",""Laxmibai""]","Razia Sultan","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"413","Where was Elizabeth Blackwell born?","[""England"",""Poland"",""Italy"",""Ireland""]","England","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"414","Where was Elizabeth born?","[""England"",""Poland"",""Italy"",""Ireland""]","Ireland","0","100.00","9","2024-05-06 11:11:55","2024-05-06 11:11:55"
"415","Where was the soft drink ''Fanta'' invented?","[""UK"",""Vietnam"",""USA"",""Nazi Germany""]","Nazi Germany","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:17:39"
"416","J.R. Simplot became a billionaire by selling which food items to McDonald''?","[""Float"",""Chicken Nuggets"",""French Fries"",""Big Mac""]","French Fries","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:17:43"
"417","Which soft drink was initially created as a substitute for morphine?","[""Dr. Pepper"",""Coca Cola"",""Pepsi"",""Sprite""]","Coca Cola","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:17:46"
"418","Which fast food restaurant featured a talking chihuahua dog in an ad campaign in 1997?","[""Subway"",""Burger King"",""Taco Bell"",""McDonald's""]","Taco Bell","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:17:49"
"419","Which fruit is named after a flightless bird?","[""Kiwi"",""Tangerine"",""Dragon Fruit"",""Durian""]","Kiwi","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:17:51"
"420","Which is considered by some to be the world''s first or original soft drink?","[""Dr. Pepper"",""Schweppes"",""Coca Cola"",""Pepsi""]","Schweppes","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:17:54"
"421","Which word inspired the name, ''Fanta''?","[""Energy"",""Fantastic"",""Fantasy"",""Orange""]","Fantasy","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:17:57"
"422","Which Ingredient makes bread rise?","[""Yeast"",""Salt"",""Sugar"",""Flour""]","Yeast","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:17:59"
"423","What is one of the most popular Japanese Dishes?","[""Pizza"",""Spaghetti"",""Paella"",""Sushi""]","Sushi","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:02"
"424","How many pounds of cheese does Pizza Hut use in a year?","[""100 Million"",""300 Million"",""400 Million"",""200 Million""]","300 Million","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:05"
"425","What is the name of the dish Burger King is famous for?","[""Whopper"",""BigMac"",""Blizzard"",""Double Double""]","Whopper","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:08"
"426","Which juice is the main ingredient in Mountain Dew?","[""Guava"",""Pineapple"",""Orange"",""Cranberry""]","Orange","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:11"
"427","After eating which poisoned fruit did Snow White fall into a deep sleep?","[""Kiwi"",""Orange"",""Apple"",""Mango""]","Apple","1652710530","100.00","52","2024-05-06 11:57:14","2024-05-08 16:53:52"
"428","Extreme fear of cooking is known as?","[""Claustrophobia"",""Mageirocophobia"",""Aquaphobia"",""Aerophobia""]","Mageirocophobia","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:17"
"429","Which fast food chain was behind the infamous ''Where''s the Beef?'' ad campaign in 1984?","[""McDonald's"",""Ihop"",""Carls Jr."",""Wendy's""]","Wendy's","1652710530","100.00","52","2024-05-06 11:57:14","2024-05-08 16:53:49"
"430","60% of human genes are identical to which of the following fruits?","[""Banana"",""Apple"",""Kiwi"",""Avacado""]","Banana","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:28"
"431","Which fast-food chain settled a lawsuit for $500,000 because of their coffee being too hot?","[""Baskin Robbins"",""Subway"",""Burger King"",""McDonald's""]","McDonald's","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:31"
"432","What is Coke''s pure juice brand called?","[""Minute Maid"",""Simply Juices"",""Real"",""Capri Sun""]","Simply Juices","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:34"
"433","Which is the most used flavour enhancer in fast foods?","[""MSG"",""Citric Acid"",""Xanthan Gum"",""HFCS""]","MSG","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:41"
"434","In which year did the Coca-Cola Company release ''New Coke''?","[""1970"",""1985"",""1955"",""1968""]","1985","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:45"
"435","The popular mango drink ''Frooti'' is being sold by which Indian company?","[""Dabur"",""Britannia"",""Parle Agro"",""Nestle""]","Parle Agro","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:48"
"436","Which popular beverage once contained cocaine?","[""Sprite"",""Pepsi"",""Coca Cola"",""Red Bull""]","Coca Cola","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:50"
"437","Mountain dew was originally created as a mixer for which alcohol?","[""Rum"",""Gin"",""Vodka"",""Whisky""]","Whisky","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:52"
"438","What is the national dish of Canada?","[""Smoked Salmon"",""Poutine"",""Pizza"",""Nasi Lemak""]","Poutine","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:55"
"439","Love apple is another name for?","[""Cauliflower"",""Custard Apple"",""Kiwi"",""Tomato""]","Tomato","1652710530","100.00","8","2024-05-06 11:57:14","2024-05-06 12:18:57"
"441","Which fast food restaurant is credited with introducing the first modern-day drive-thru window?","[""Wendy's"",""McDonald's"",""Pizza Hut"",""Subway""]","Wendy's","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"442","How many herbs and spices make up the secret blend used in Colonel Sanders'' KFC fried chicken recip","[""7"",""12"",""15"",""11""]","11","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"444","The consumption of which type of meat is forbidden in the Hindu religion?","[""Beef"",""Chicken"",""Lamb"",""Pork""]","Beef","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"445","What is the only fruit with seeds on the outside?","[""Strawberry"",""Blueberry"",""Raspberry"",""Kiwi""]","Strawberry","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"446","Which country grows the most mangoes?","[""India"",""Philippines"",""Indonesia"",""Thailand""]","India","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"447","Chocolate is made from what type of bean?","[""Kidney"",""Pinto"",""Cocoa"",""Lima""]","Cocoa","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"448","Which of these ''nuts'' is actually a fruit?","[""Hazelnut"",""Cashews"",""Pistachios"",""Walnuts""]","Pistachios","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"449","Which of the following fruits, popularly found in Singapore, is known for its ''strong smell''?","[""Durian"",""Dragon Fruit"",""Lychee"",""Jackfruit""]","Durian","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"450","Which country has the highest per capita tea consumption in the world?","[""India"",""China"",""Turkey"",""UK""]","Turkey","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"451","Which was the world''s first fast food outlet?","[""White Castle"",""Wendy's"",""McDonald's"",""Burger King""]","White Castle","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"452","Which drink was initially introduced and marketed as a brain tonic and an intellectual beverage?","[""Red Bull"",""Gatorade"",""Coca Cola"",""Sprite""]","Coca Cola","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"453","Kid''s meals at McDonald''s is called?","[""Happy Meal"",""Mini Meal"",""Happy Box"",""Children's Meal""]","Happy Meal","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"454","Where was the first McDonald''s restaurant located?","[""California"",""Florida"",""New Jersey"",""Ohio""]","California","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"455","Bib-Label Lithiated Lemon-Lime Soda'' was the original name of which soda?","[""Sprite"",""7UP"",""Fanta"",""Coca Cola""]","7UP","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"456","Which country has the highest consumption of chocolate?","[""Switzerland"",""France"",""USA"",""Germany""]","Switzerland","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"457","What is the most common pizza topping?","[""Olives"",""Pepper"",""Pepperoni"",""Anchovies""]","Pepperoni","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"458","Caviar'' is a French delicacy consisting?","[""Unfertilized fish eggs"",""Oyster"",""Fungi"",""Jellyfish""]","Unfertilized Fish Eggs","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"459","What word is used in India for tea?","[""T̩"",""Ocha"",""Chai"",""Tee""]","Chai","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"460","Which of the following fast food chain had it''s own perfume at one point?","[""Burger King"",""McDonald's"",""Dominos"",""Pizza Hut""]","Pizza Hut","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"461","What do you call a person who does not eat meat but eats fish and other seafood?","[""Pescatarian"",""Vegetarian"",""Vegan"",""Flexitarian""]","Pescatarian","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"462","Which country invented ice-cream?","[""Persia"",""France"",""China"",""USA""]","China","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"463","Which fast food restaurant sells the Big Mac?","[""McDonald's"",""Burger King"",""White Castle"",""Subway""]","McDonald's","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"464","Which fast food restaurant aired ads featuring a man who lost 245 pounds eating only their products?","[""Subway"",""Papa John's"",""Dominos"",""Pizza Hut""]","Subway","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"465","Colonel Sanders was the founder of Which fast-food chain?","[""McDonald's"",""Dominos"",""KFC"",""Burger King""]","KFC","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"466","Lady finger is also known as?","[""Zucchini"",""Courgette"",""Okra"",""Aubergine""]","Okra","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"467","What category of fruits do bananas fall into?","[""Berries"",""Melons"",""Citrus"",""Tropical""]","Berries","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"468","Which name does Burger King go by in Australia?","[""Arby's"",""Hungry Jack's"",""Shake Shack"",""Applebees""]","Hungry Jack's","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"469","Which is the most expensive spice in the world?","[""Saffron"",""Cumin Seeds"",""Vanilla Bean"",""Cardamom""]","Saffron","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"470","What is the main Ingredient in falafel?","[""Pork"",""Chickpeas"",""Beans"",""Chicken""]","Chickpeas","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"471","Which brand of chips was originally invented in Disneyland, in 1964?","[""Takis"",""Cheetos"",""Doritos"",""Lays""]","Doritos","1652710530","100.00","44","2024-05-06 11:57:14","2024-05-06 11:57:14"
"512","Who was the Indian Captain when India won the Cricket World Cup in 2011?","[""MS Dhoni"",""Sachin Tendulkar"",""Yuvraj Singh"",""Gautam Gambhir""]","MS Dhoni","1652710530","100.00","8","2024-05-06 12:16:12","2024-05-06 12:19:51"
"527","How many overs are there in one IPL game?","[""50 overs"",""20 overs"",""100 overs"",""40 overs""]","40 overs","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"528","Which batsman scored the first-ever Test match triple hundred?","[""Sachin Tendulkar"",""Brian Lara"",""Andy Sandham"",""Rohit Sharma""]","Andy Sandham","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"529","How many times has Chennai Super Kings won the IPL?","[""2"",""3"",""4"",""5""]","4","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"530","How many times did India win the Cricket World Cup?","[""1"",""2"",""3"",""4""]","2","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"531","Who is the Queen of Cricket?","[""Mithali Raj"",""Ellyse Perry"",""Sarah Taylor"",""Jhulan Goswami""]","Mithali Raj","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"532","Which cricketer is known as ''The Wall''?","[""Sourav Ganguly"",""Rahul Dravid"",""Sunil Gavaskar"",""Virat Kohli""]","Rahul Dravid","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"533","Which batsman scored the most runs in the 2019 Cricket World Cup?","[""MS Dhoni"",""Suresh Raina"",""Rohit Sharma"",""David Warner""]","Rohit Sharma","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"534","What was the total prize money for the 2019 World Cup?","[""$10 million"",""$20 million"",""$50 million"",""$100 million""]","$10 million","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"535","What does IPL stand for?","[""Indian Premier League"",""Indian Pool League"",""International Cricket League"",""International Paintball League""]","Indian Premier League","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"536","Where will the next Cricket World Cup be hosted?","[""Australia"",""Pakistan"",""India"",""New Zealand""]","India","1652710530","100.00","52","2024-05-06 12:16:12","2024-05-08 16:53:30"
"537","Which team has won the most IPL titles?","[""Chennai Super Kings"",""Mumbai Indians"",""Rajasthan Royals"",""Delhi Capitals""]","Mumbai Indians","1652710530","100.00","52","2024-05-06 12:16:12","2024-05-08 16:53:27"
"538","Which country has played the maximum number of one day matches?","[""India"",""England"",""Australia"",""West Indies""]","Australia","1652710530","100.00","52","2024-05-06 12:16:12","2024-05-08 16:53:23"
"539","When was the Mumbai Indians club founded?","[""2006"",""2008"",""2010"",""2012""]","2008","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"540","Who is known as The God of Cricket?","[""Rohit Sharma"",""Steve Smith"",""Virat Kohli"",""Sachin Tendulkar""]","Sachin Tendulkar","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"541","Who is known as Captain Cool?","[""Ricky Ponting"",""Don Bradman"",""Sunil Gavaskar"",""MS Dhoni""]","MS Dhoni","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"542","Which Cricketer got India''s Highest Civilian Award The Bharat Ratna?","[""Kapil Dev"",""Sachin Tendulkar"",""Yuvraj Singh"",""Ishant Sharma""]","Sachin Tendulkar","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"543","How many times did India host the ICC World Cup Tournament?","[""1"",""2"",""3"",""4""]","3","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"544","How many Overs are played in ICC World Cup?","[""10 overs"",""20 overs"",""30 overs"",""50 overs""]","50 overs","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"545","Which Indian Cricket Stadium has the largest Capacity?","[""Wankhede Stadium"",""Eden Gardens"",""Narendra Modi Stadium"",""Brabourne Stadium""]","Narendra Modi Stadium","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"546","Who is the highest run-scorer in women''s international cricket?","[""Smriti Mandhana"",""Mithali Raj"",""Ellyse Perry"",""Harmanpreet Kaur""]","Mithali Raj","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"547","Who hit the longest six in history?","[""MS Dhoni"",""Shahid Afridi"",""Rohit Sharma"",""Chris Gayle""]","Shahid Afridi","1652710530","100.00","45","2024-05-06 12:16:12","2024-05-06 12:16:12"
"548","In which country did cricket originate?","[""India"",""Australia"",""Pakistan"",""England""]","England","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:21:33"
"549","Who holds the record for bowling the fastest ball in the history of cricket?","[""Bret Lee"",""Umesh Yadav"",""Shoaib Akhtar"",""Shaun Tait""]","Shoaib Akhtar","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:21:37"
"550","In which year did England win the World Cup for the first time?","[""2007"",""2011"",""2015"",""2019""]","2019","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:21:44"
"551","Who won the first-ever World Cup in 1975?","[""Australia"",""England"",""India"",""West Indies""]","West Indies","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:21:48"
"552","How long is the cricket pitch?","[""18 yards"",""20 yards"",""21 yards"",""22 years""]","22 yards","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:25"
"553","What is an over in which no runs are scored called?","[""Dot over"",""Maiden over"",""Over"",""Ace over""]","Maiden over","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:27"
"554","Which country has won the most World Cups?","[""India"",""Australia"",""West Indies"",""England""]","Australia","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:30"
"555","Who won the ICC Champions Trophy in 2013?","[""Pakistan"",""Australia"",""India"",""Sri Lanka""]","India","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:34"
"556","Who has the highest Individual Score in IPL History?","[""Chris Gayle"",""Virat Kohli"",""Rohit Sharma"",""Dwayne Bravo""]","Chris Gayle","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:40"
"557","Where is the Headquarters of ICC?","[""Mumbai"",""England"",""Dubai"",""Melbourne""]","Dubai","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:13"
"558","Who is the highest wicket-taker in women''s cricket?","[""Jhulan Goswami"",""Anisa Mohammed"",""Stafanie Taylor"",""Katherine Helen Brunt""]","Jhulan Goswami","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:11"
"559","Who was the first bowler to take 10 Wickets in an innings?","[""Kapil Dev"",""Anil Kumble"",""Lala Amarnath"",""Shahid Afridi""]","Anil Kumble","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:08"
"560","Which cricketer is known as the Hitman?","[""Chris Gayle"",""MS Dhoni"",""Rohit Sharma"",""Steve Smith""]","Rohit Sharma","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:06"
"561","Which cricketer is known as ''Dada''?","[""Kapil Dev"",""MS Dhoni"",""Rahul Dravid"",""Sourav Ganguly""]","Sourav Ganguly","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:22:03"
"562","Which governing body governs Cricket?","[""FIFA"",""ICC"",""UEFA"",""DGCA""]","ICC","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:21:59"
"563","Where were the finals of the 2019 World Cup hosted?","[""London"",""Liverpool"",""Manchester"",""Mumbai""]","London","1652710530","100.00","10","2024-05-06 12:16:12","2024-05-06 12:21:55"
"564","Who  the first Indian woman in space?","[""Sunita Williams"",""P.T Usha"",""Kalpana Chawla"",""None""]","Kalpana Chawla","0","150.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
"565","Mrs  is associated with which of the following?","[""Parle-G"",""Mother Dairy"",""Britannia"",""Cremica""]","Cremica","0","100.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
"566","Who  the first female teacher in India?","[""Sarojini Naidu"",""Mother Teresa"",""Pandita Ramabai"",""Savitribai Phule""]","Savitribai Phule","0","100.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
"567","Who  known as the ''Nightingale of India''?","[""Sarojini Naidu"",""Mother Teresa"",""Pandita Ramabai"",""Savitribai Phule""]","Sarojini Naidu","0","100.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
"568","Who  the first Indian woman to fly an aircraft?","[""Asima Chatterjee"",""Sarla Thakral"",""Anandibai Joshi"",""Kalpana Chawla""]","Sarla Thakral","0","100.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
"569","Who  the first woman from India to climb Mount Everest?","[""Sunita Williams"",""Bachendri Pal"",""Sucheta Kriplani"",""Sarojini Naidu""]","Bachendri Pal","0","100.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
"570","Who  the first female IPS officer in India?","[""Nirmala Sitaraman"",""Kiran Bedi"",""Mother Teresa"",""Amrit Kaur""]","Kiran Bedi","0","100.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
"571","Who  the first woman speaker of Lok Sabha?","[""Shanno Devi"",""Meira Kumar"",""Smriti Irani"",""Annie Besant""]","Meira Kumar","0","100.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
"572","Who  the first ever Miss Universe from India?","[""Sushmita Sen"",""Rita Faria"",""Lara Dutta"",""Harnaz Sandhu""]","Sushmita Sen","0","100.00","8","2024-05-06 12:24:31","2024-05-06 12:24:31"
